ccode,country,year,cou.any
436,Niger,2010,1
436,Niger,2021,1
436,Niger,2023,1
437,Ivory Coast,1999,1
437,Ivory Coast,2000,1
437,Ivory Coast,2001,1
437,Ivory Coast,2002,1
438,Guinea,1984,1
438,Guinea,1985,1
438,Guinea,1996,1
438,Guinea,2008,1
438,Guinea,2011,1
438,Guinea,2021,1
439,Burkina Faso,1966,1
439,Burkina Faso,1974,1
439,Burkina Faso,1980,1
439,Burkina Faso,1982,1
439,Burkina Faso,1983,1
439,Burkina Faso,1987,1
439,Burkina Faso,2014,1
439,Burkina Faso,2015,1
439,Burkina Faso,2022,1
450,Liberia,1980,1
450,Liberia,1985,1
450,Liberia,1994,1
451,Sierra Leone,1967,1
451,Sierra Leone,1968,1
451,Sierra Leone,1971,1
451,Sierra Leone,1987,1
451,Sierra Leone,1992,1
451,Sierra Leone,1995,1
451,Sierra Leone,1996,1
451,Sierra Leone,1997,1
452,Ghana,1966,1
452,Ghana,1967,1
452,Ghana,1972,1
452,Ghana,1978,1
452,Ghana,1979,1
452,Ghana,1981,1
452,Ghana,1982,1
452,Ghana,1983,1
452,Ghana,1984,1
461,Togo,1963,1
461,Togo,1967,1
461,Togo,1991,1
461,Togo,2005,1
471,Cameroon,1984,1
475,Nigeria,1966,1
475,Nigeria,1975,1
475,Nigeria,1976,1
475,Nigeria,1983,1
475,Nigeria,1985,1
475,Nigeria,1990,1
475,Nigeria,1993,1
481,Gabon,1964,1
481,Gabon,2019,1
481,Gabon,2023,1
482,Central African Republic,1966,1
482,Central African Republic,1976,1
482,Central African Republic,1981,1
482,Central African Republic,2001,1
482,Central African Republic,2003,1
483,Chad,1975,1
483,Chad,1977,1
483,Chad,1989,1
483,Chad,1991,1
483,Chad,1993,1
483,Chad,2006,1
483,Chad,2021,1
484,Congo,1963,1
484,Congo,1966,1
484,Congo,1968,1
484,Congo,1969,1
484,Congo,1970,1
484,Congo,1972,1
490,Democratic Republic of the Congo,1960,1
490,Democratic Republic of the Congo,1965,1
490,Democratic Republic of the Congo,2004,1
500,Uganda,1971,1
500,Uganda,1974,1
500,Uganda,1980,1
500,Uganda,1985,1
501,Kenya,1982,1
516,Burundi,1965,1
516,Burundi,1966,1
516,Burundi,1976,1
516,Burundi,1987,1
516,Burundi,1993,1
516,Burundi,1996,1
516,Burundi,2001,1
516,Burundi,2015,1
517,Rwanda,1973,1
517,Rwanda,1994,1
520,Somalia,1961,1
520,Somalia,1969,1
520,Somalia,1978,1
522,Djibouti,2000,1
530,Ethiopia,1960,1
530,Ethiopia,1961,1
530,Ethiopia,1974,1
530,Ethiopia,1977,1
530,Ethiopia,1989,1
540,Angola,1977,1
541,Mozambique,1975,1
551,Zambia,1980,1
551,Zambia,1990,1
551,Zambia,1997,1
552,Zimbabwe,2017,1
570,Lesotho,1986,1
570,Lesotho,1991,1
570,Lesotho,1994,1
570,Lesotho,2014,1
572,Swaziland,1983,1
580,Madagascar,1974,1
580,Madagascar,1992,1
580,Madagascar,2009,1
580,Madagascar,2010,1
581,Comoros,1975,1
581,Comoros,1978,1
581,Comoros,1985,1
581,Comoros,1987,1
581,Comoros,1989,1
581,Comoros,1991,1
581,Comoros,1992,1
581,Comoros,1999,1
581,Comoros,2000,1
591,Seychelles,1977,1
600,Morocco,1971,1
600,Morocco,1972,1
615,Algeria,1964,1
615,Algeria,1965,1
615,Algeria,1967,1
615,Algeria,1992,1
616,Tunisia,1987,1
620,Libya,1969,1
620,Libya,1975,1
620,Libya,1993,1
625,Sudan,1958,1
625,Sudan,1959,1
625,Sudan,1966,1
625,Sudan,1969,1
625,Sudan,1971,1
625,Sudan,1975,1
625,Sudan,1976,1
625,Sudan,1977,1
625,Sudan,1985,1
625,Sudan,1989,1
625,Sudan,2012,1
625,Sudan,2019,1
625,Sudan,2021,1
625,Sudan,2023,1
630,Iran,1953,1
640,Turkey,1960,1
640,Turkey,1962,1
640,Turkey,1963,1
640,Turkey,1971,1
640,Turkey,1980,1
640,Turkey,2016,1
645,Iraq,1958,1
645,Iraq,1959,1
645,Iraq,1963,1
645,Iraq,1965,1
645,Iraq,1966,1
645,Iraq,1968,1
645,Iraq,1970,1
645,Iraq,1973,1
645,Iraq,1991,1
645,Iraq,1992,1
645,Iraq,1995,1
651,Egypt,1952,1
651,Egypt,1954,1
651,Egypt,2011,1
651,Egypt,2013,1
652,Syria,1951,1
652,Syria,1954,1
652,Syria,1961,1
652,Syria,1962,1
652,Syria,1963,1
652,Syria,1966,1
652,Syria,1968,1
652,Syria,1969,1
652,Syria,1970,1
652,Syria,1982,1
660,Lebanon,1961,1
660,Lebanon,1976,1
663,Jordan,1957,1
663,Jordan,1958,1
678,Yemen Arab Republic; N. Yemen,1955,1
678,Yemen Arab Republic; N. Yemen,1962,1
678,Yemen Arab Republic; N. Yemen,1967,1
678,Yemen Arab Republic; N. Yemen,1974,1
678,Yemen Arab Republic; N. Yemen,1978,1
680,Yemen People's Republic; S. Yemen,1968,1
680,Yemen People's Republic; S. Yemen,1978,1
680,Yemen People's Republic; S. Yemen,1986,1
694,Qatar,1972,1
694,Qatar,1995,1
694,Qatar,1996,1
696,United Arab Emirates,1972,1
696,United Arab Emirates,1987,1
698,Oman,1970,1
700,Afghanistan,1973,1
700,Afghanistan,1978,1
700,Afghanistan,1990,1
700,Afghanistan,1992,1
732,South Korea,1961,1
770,Pakistan,1958,1
770,Pakistan,1971,1
770,Pakistan,1977,1
770,Pakistan,1999,1
771,Bangladesh,1975,1
771,Bangladesh,1977,1
771,Bangladesh,1981,1
771,Bangladesh,1982,1
771,Bangladesh,1996,1
771,Bangladesh,2024,1
775,Myanmar,1958,1
775,Myanmar,1962,1
775,Myanmar,1976,1
775,Myanmar,1988,1
775,Myanmar,2021,1
781,Maldives,2012,1
800,Thailand,1951,1
800,Thailand,1957,1
800,Thailand,1958,1
800,Thailand,1976,1
800,Thailand,1977,1
800,Thailand,1981,1
800,Thailand,1985,1
800,Thailand,1991,1
800,Thailand,2006,1
800,Thailand,2014,1
811,Cambodia,1970,1
811,Cambodia,1978,1
811,Cambodia,1997,1
812,Laos,1960,1
812,Laos,1964,1
812,Laos,1965,1
812,Laos,1966,1
812,Laos,1973,1
817,Republic of Vietnam,1960,1
817,Republic of Vietnam,1963,1
817,Republic of Vietnam,1964,1
817,Republic of Vietnam,1965,1
840,Philippines,1986,1
840,Philippines,1987,1
840,Philippines,1989,1
840,Philippines,1990,1
850,Indonesia,1965,1
850,Indonesia,1966,1
910,Papua New Guinea,1990,1
910,Papua New Guinea,2012,1
950,Fiji,1987,1
950,Fiji,2000,1
950,Fiji,2006,1
